관리번호,도로명주소,지번주소,위도,경도,데이터기준일자
역삼1동-6,서울특별시 강남구 강남대로 302-2    (역삼동),서울특별시 강남구 역삼동 858 ,37.5010835,127.0264164,2025-04-30
역삼1동-7,서울특별시 강남구 강남대로 298   (역삼동),서울특별시 강남구 역삼동 838 ,37.4898285,127.0318467,2025-04-30
역삼1동-8,서울특별시 강남구 테헤란로 121   (역삼동),서울특별시 강남구 역삼동 648-26 ,37.4992914,127.0310936,2025-04-30
역삼1동-9,서울특별시 강남구 선릉로 577   (역삼동),서울특별시 강남구 역삼동 682-21 ,37.5100411,127.0436894,2025-04-30
역삼1동-10,서울특별시 강남구 테헤란로 152   (역삼동),서울특별시 강남구 역삼동 737 ,37.5004267,127.0367921,2025-04-30
역삼1동-11,서울특별시 강남구 테헤란로 151   (역삼동),서울특별시 강남구 역삼동 642-24 ,37.501041,127.0365449,2025-04-30
역삼1동-13,서울특별시 강남구 강남대로 470   (역삼동),서울특별시 강남구 역삼동 808 ,37.5044222,127.0249334,2025-04-30
역삼1동-14,서울특별시 강남구 강남대로 446   (역삼동),서울특별시 강남구 역삼동 814-1 ,37.5024435,127.0257832,2025-04-30
역삼1동-15,서울특별시 강남구 테헤란로 120   (역삼동),서울특별시 강남구 역삼동 824-20 ,37.4987073,127.0309652,2025-04-30
역삼1동-16,서울특별시 강남구 테헤란로 124   (역삼동),서울특별시 강남구 역삼동 823 ,37.4988157,127.0313482,2025-04-30
역삼1동-17,서울특별시 강남구 테헤란로 119   (역삼동),서울특별시 강남구 역삼동 649-14 ,37.4992051,127.0307834,2025-04-30
역삼1동-18,서울특별시 강남구 테헤란로 301   (역삼동),서울특별시 강남구 역삼동 701-2 ,37.5030223,127.0428718,2025-04-30
역삼1동-19,서울특별시 강남구 테헤란로 231   (역삼동),서울특별시 강남구 역삼동 676 ,37.5028505,127.0423361,2025-04-30
역삼1동-20,서울특별시 강남구 역삼로 124   (역삼동),서울특별시 강남구 역삼동 833-4 ,37.4938918,127.0333041,2025-04-30
역삼1동-21,서울특별시 강남구 역삼로 125   (역삼동),서울특별시 강남구 역삼동 829-15 ,37.4942601,127.0335539,2025-04-30
역삼1동-22,서울특별시 강남구 역삼로 128   (역삼동),서울특별시 강남구 역삼동 834 ,37.4940077,127.0336206,2025-04-30
역삼2동-1,서울특별시 강남구 역삼로 251   (역삼동),서울특별시 강남구 역삼동 731 ,37.4986114,127.0444358,2025-04-30
역삼2동-2,"서울특별시 강남구 역삼로 307   (역삼동, 역삼 IPARK)",서울특별시 강남구 역삼동 713-11 ,37.4988156,127.0448311,2025-04-30
역삼2동-3,"서울특별시 강남구 도곡로43길 21   (역삼동, 래미안그레이튼)",서울특별시 강남구 역삼동 762-3 ,37.4945069,127.046819,2025-04-30
역삼2동-4,서울특별시 강남구 테헤란로 202   (역삼동),서울특별시 강남구 역삼동 717 ,37.5004835,127.0373026,2025-04-30
역삼2동-5,서울특별시 강남구 도곡로 203   (역삼동),서울특별시 강남구 역삼동 788-15 ,37.4926646,127.0410255,2025-04-30
역삼2동-6,서울특별시 강남구 언주로 301   (역삼동),서울특별시 강남구 역삼동 785-13 ,37.4943576,127.0463861,2025-04-30
역삼2동-7,서울특별시 강남구 테헤란로 302   (역삼동),서울특별시 강남구 역삼동 706 ,37.5023443,127.042942,2025-04-30
역삼2동-8,서울특별시 강남구 테헤란로 242   (역삼동),서울특별시 강남구 역삼동 720-7 ,37.5022505,127.0426343,2025-04-30
역삼2동-9, ,서울특별시 강남구 역삼동 767-20 ,37.4949868,127.0484148,2025-04-30
